menuRestaurantNom;menuRestaurantId;menuRestaurantIdType;menuRestaurantType;menuRestaurantConvive;menuDate;menuRepasType;menuPlatRegime;menuPlatType;menuPlatCode;menuPlatNom;menuplatlabellocal;menuplatlabelabio;menuplatlabelfaitmaison;menuplatlabelproduitsfermiers;menuplatlabelaoc;menuplatlabelaop;menuplatlabeligp;menuplatlabelvf;menuplatlabellabelrouge;menuCollNom;menuCollSiret;menuEtablissementNom;menuEtablissementSiret;menuPublicationDate
ECOLE GASNIER;25;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE HUGO;26;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE HUGO;26;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ISORET;27;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ISORET;27;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ISORET;27;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE LAREVELLIERE;28;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE LAREVELLIERE;28;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE LEBAS;29;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE LEBAS;29;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MAULEVRIES;30;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MAULEVRIES;30;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MAULEVRIES;30;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MAULEVRIES;30;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MAULEVRIES;30;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MONET;33;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MONET;33;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MONET;33;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MONET;33;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MONTESQUIEU;35;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MONTESQUIEU;35;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MUSSET;37;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MUSSET;37;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PAGNOL;38;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PAGNOL;38;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PAGNOL;38;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PAGNOL;38;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PARCHEMINERIE;39;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PARCHEMINERIE;39;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PERUSSAIE;40;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PERUSSAIE;40;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PERUSSAIE;40;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PERUSSAIE;40;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MANDELA;41;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MANDELA;41;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MANDELA;41;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE PREVERT;42;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE RASPAIL;43;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE RASPAIL;43;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ROSTAND;45;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ROSTAND;45;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ROSTAND;45;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ROUSSEAU;46;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE ROUSSEAU;46;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE TALET;47;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE TALET;47;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE TIGEOT;49;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE TIGEOT;49;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE VALERY;50;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE VALERY;50;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE VERNE;51;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE VOLNEY;52;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE VOLTAIRE;53;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE VOLTAIRE;53;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MOLLIERES;148;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MOLLIERES;148;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE MOLLIERES;148;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BENIER;3;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;produit laitier;6;Saint-Nectaire;;;;;;Appellation origine protégée;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BENIER;3;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BENIER;3;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CUSSONNEAU M;6;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;garniture;4;Epinards hachés à la crème;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BLANCHERAIE;11;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;plat principal;2;Boulettes de riz panées aux fromages;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BLANCHERAIE;11;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;produit laitier;6;Saint-Nectaire;;;;;;Appellation origine protégée;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BLANCHERAIE;11;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;produit laitier;6;Saint-Nectaire;;;;;;Appellation origine protégée;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BORDILLON;12;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;entrée;1;Salade de lentilles;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BROSSARD;13;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;entrée;1;Salade de lentilles;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BROSSARD;13;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;plat principal;2;Boulettes de riz panées aux fromages;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BROSSARD;13;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;dessert;7;Compote de pomme/poire;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BROSSARD;13;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CHIRON;14;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;produit laitier;6;Saint-Nectaire;;;;;;Appellation origine protégée;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CLEMENT;15;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;produit laitier;6;Saint-Nectaire;;;;;;Appellation origine protégée;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CLEMENT;15;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CURIE;19;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;plat principal;2;Boulettes de riz panées aux fromages;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;plat principal;2;Boulettes de riz panées aux fromages;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;garniture;4;Epinards hachés à la crème;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;élémentaire;élémentaire;2026-01-06;déjeuner;sans exclusion;dessert;7;Compote de pomme/poire;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DESCARTES;22;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;produit laitier;6;Saint-Nectaire;;;;;;Appellation origine protégée;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DESCARTES;22;autre;maternelle;maternelle;2026-01-06;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
